senseId	entryId	lemma	partOfSpeech	synsetId	subcat
awn4-s0015708fb5b3	awn4-ed79da369ecda	إطريفل الماء	n	awn4-12505289-n	
awn4-s0015bae51344	awn4-eaf2a85eb18fb	شعيرة	n	awn4-02905839-n	
awn4-s00167522b408	awn4-e45fb4b9f968a	جنس بسيثيروس	n	awn4-02212407-n	
awn4-s00170530fcc7	awn4-e15014f245d5e	فك الضغط	n	awn4-00617881-n	
awn4-s00171b595096	awn4-e27a11a13f635	تخزين في صهاريج	n	awn4-00813716-n	
awn4-s00174467e74b	awn4-eb5f7a34e2883	شريان مخيخي	n	awn4-05348343-n	
awn4-s0018091b16e7	awn4-eaeabceaf0a4a	شيانغ كاي شيك	n	awn4-10915440-n	
awn4-s001815c69279	awn4-ee1222b8aebd9	إبرة تحت الجلد	n	awn4-03560744-n	
awn4-s00183524a86b	awn4-ee18b474d48cf	مُساهِم فِي صُنْدُوق مُشْتَرَك	n	awn4-10472617-n	
awn4-s0018948fe08f	awn4-edced98e3a5c6	طائفة الفطريات البيضية	n	awn4-12998056-n	
awn4-s0018d7cb087b	awn4-e3e663801e494	مُغْتَبِط	s	awn4-01370127-s	
awn4-s001a1caa2059	awn4-e27c04ede4bb1	تسموي	a	awn4-02646150-a	
awn4-s001a8329aed2	awn4-e26d0482e330b	حصار أورليان	n	awn4-01292323-n	
awn4-s001aa0af6f9c	awn4-ea4b9b6c1fc5e	صبغة اللك	n	awn4-15013673-n	
awn4-s001ab5a91a8a	awn4-eaa36230a1f18	أَطْفَأَ	v	awn4-02766453-v	
awn4-s001ae747612e	awn4-e5de67b594082	اعتلال غدي	n	awn4-14140655-n	
awn4-s001b788b1bfe	awn4-eba3dd4b150af	الأسفار الخمسة	n	awn4-06463561-n	
awn4-s001c1f8e31c8	awn4-e76eace5ebc7b	مثلي	a	awn4-03084394-a	
awn4-s001cdeea0ec4	awn4-edf75f9509642	بخبرة	r	awn4-00215587-r	
awn4-s001e085dc100	awn4-ec202cba7ef79	أسمر	n	awn4-09897322-n	
awn4-s001e0b9be97d	awn4-eb6037b3b2404	قيّر	v	awn4-01275021-v	
awn4-s001f3cce843f	awn4-efab28205a125	داحس	n	awn4-14202276-n	
awn4-s001f8ad82fda	awn4-ef4e1e1d704bc	علّام الأشجار	n	awn4-10581711-n	
awn4-s001fcf81ce9f	awn4-eeb92f97bfaa2	شراء إيجاري	n	awn4-13317775-n	
awn4-s0021b7867160	awn4-e85661a5f27fb	مراقبة جوية	n	awn4-00806196-n	
awn4-s0021bbfafde3	awn4-ed60bd4889e35	رقص	n	awn4-07033652-n	
awn4-s0021f7b2b54b	awn4-eead81ddbfa3d	مصاب بسلس	a	awn4-00594646-a	
awn4-s002229b45533	awn4-ebdfe29fe7996	بلعوم أنفي	n	awn4-05536487-n	
awn4-s002246785656	awn4-ed605d094c380	سمامة	n	awn4-01834808-n	
awn4-s0022a5b55ea8	awn4-efa3a227d6464	مؤلف نكات	n	awn4-10136924-n	
awn4-s00231a8b6039	awn4-eb9ae20584dda	المجاعة الأيرلندية	n	awn4-07330565-n	
awn4-s00232ec44972	awn4-e6182e451bcf0	ظفر ناشب	n	awn4-05592255-n	
awn4-s002366d0e715	awn4-e45a54401cbbc	دفاع	n	awn4-00127541-n	
awn4-s00243b373039	awn4-e062e4ebef3eb	أجدى	v	awn4-02531113-v	
awn4-s00249f313814	awn4-efbcd4a53dfe9	ثانياً	r	awn4-00103431-r	
awn4-s0024b4d44293	awn4-ebb8da8919bf2	لحم عجل	n	awn4-07681053-n	
awn4-s0024dcf6cdc1	awn4-ef5555e4885db	قلب	v	awn4-01913390-v	
awn4-s0024e959b352	awn4-e4448eb414081	نزيل	n	awn4-10170653-n	
awn4-s00256c8910d6	awn4-e84c6afb20399	حرب كيميائية	n	awn4-00969726-n	
awn4-s002582ce0d8c	awn4-e0844a4593849	هاريس	n	awn4-11050675-n	
awn4-s0025b04703b6	awn4-e1ae701dc017c	بَدِيل	s	awn4-01859862-s	
awn4-s0025bfdc3276	awn4-e499a34cc1174	عَامِل	n	awn4-13808625-n	
awn4-s0026029f74b5	awn4-e749f58292221	عشب الحبل	n	awn4-12160092-n	
awn4-s0026c402622b	awn4-e5c8602520488	سيركومفلكس	n	awn4-06835982-n	
awn4-s0026c4a134ef	awn4-eea8aa478c0e3	حياة خفية	n	awn4-14086957-n	
awn4-s002714a9bce3	awn4-ea086af1f0679	بائع زهور	n	awn4-10117474-n	
awn4-s002741ccedd3	awn4-ebb749b748ca4	ترويح	n	awn4-00313092-n	
awn4-s002741dc3116	awn4-ef0d12287b045	سحلية السياج	n	awn4-01683119-n	
awn4-s0027874ce7eb	awn4-ee4ef5efcbb12	أودع	v	awn4-00884633-v	
awn4-s0027f137731a	awn4-ed6af4f9f0321	مساعدة	n	awn4-00559045-n	
awn4-s0027f8061fce	awn4-e647c7af18f4e	منغولي	a	awn4-03098852-a	
awn4-s002879bf6e9b	awn4-e61adb981f8db	رقائق البطاطس	n	awn4-07728304-n	
awn4-s0028b415d22d	awn4-e5c712a7c169f	حرّك بعبث	v	awn4-01226775-v	
awn4-s0029a9482f10	awn4-e0a6282c8e422	وسادة حبر	n	awn4-03878563-n	
awn4-s0029b9b3ea81	awn4-e1435c76ac785	لانغستون هيوز	n	awn4-11085096-n	
awn4-s0029f1651fd5	awn4-ed7f80163a097	بجرأة	r	awn4-00186537-r	
awn4-s002a1c797407	awn4-e010f7192680d	مستعصٍ	a	awn4-01408823-a	
awn4-s002af68ac361	awn4-ec3ec3eb21c53	صقلية	n	awn4-08828851-n	
awn4-s002b089870a3	awn4-eb3781c9f3dd3	عفرتة	n	awn4-04657367-n	
awn4-s002b60a153d9	awn4-e84f147c30858	بِشَكْل مَقِيت	r	awn4-00311025-r	
awn4-s002bba39482e	awn4-e95abef896f74	كورتيل	n	awn4-03125841-n	
awn4-s002bfe83208e	awn4-e22bf1311f280	بِعِفَّة	r	awn4-00285302-r	
awn4-s002c1b2cab9b	awn4-e4d64ac62e013	غراي	n	awn4-11032672-n	
awn4-s002c43baccdf	awn4-e20e436b3510c	مارك توين	n	awn4-10920482-n	
awn4-s002cc8d4d57a	awn4-e6bf8049da8f1	مُقْصًى	s	awn4-02538635-s	
awn4-s002ce24a99f1	awn4-e2f461066bbdd	مخطط المغناطيسية	n	awn4-03714211-n	
awn4-s002d2ff771ba	awn4-ec254d970f32d	بقلة مروءة	r	awn4-00486768-r	
awn4-s002d5fec703d	awn4-e089451031fb5	وحشية	n	awn4-00734615-n	
awn4-s002d62251e47	awn4-e1c65140240a5	رفش	n	awn4-04273596-n	
awn4-s002da99dec8c	awn4-e2c59c337dba2	لحظة الحقيقة	n	awn4-15270055-n	
awn4-s002dc95f59db	awn4-efaf5d6c6d2d7	قَهْقَهَ بِعُلُوِّ الصَّوْتِ	v	awn4-00032407-v	
awn4-s002eb8a38200	awn4-e1531b8d7b0da	كتلة	n	awn4-13647935-n	
awn4-s002edfb7c047	awn4-e06e156977b68	الفصيلة الديمومية	n	awn4-11839414-n	
awn4-s002f3c2c43b8	awn4-efa4546f35d91	كناري	n	awn4-09694116-n	
awn4-s002fa47d4bef	awn4-edd3dc512742f	انْعِدَام القِيمَة	n	awn4-05146826-n	
awn4-s00300c913ffa	awn4-e9f6a91b1cb4f	ما بعد انقطاع الطمث	a	awn4-02773828-a	
awn4-s003017d314b4	awn4-eae70fa1f6826	إفراط في الثناء	n	awn4-92462511-n	
awn4-s0030398b58bd	awn4-e788f786ba356	نَذْل	s	awn4-02525059-s	
awn4-s0030503a42d1	awn4-e3d3a53c922b6	غرفة خلفية	n	awn4-02773446-n	
awn4-s00316185aaea	awn4-e11d67497245a	غصن شائك	n	awn4-13110778-n	
awn4-s0031fe9e3e65	awn4-e1d8ded9cb078	تحليل دقيق	n	awn4-00647430-n	
awn4-s0032542cba96	awn4-eaed41762b10e	اِمْتَثَلَ	v	awn4-02669057-v	
awn4-s00330ef7489e	awn4-ec4d3d77815fa	علم الحركة	n	awn4-06092047-n	
awn4-s003310bb92d7	awn4-efc8a370d6696	هَائِل	s	awn4-01680620-s	
awn4-s0033c25d6d2d	awn4-efeebd59f9c08	حكومة دمية	n	awn4-08195239-n	
awn4-s0033d047fc6a	awn4-e294d36f1f636	الليدي إيما هاميلتون	n	awn4-11046074-n	
awn4-s0033dc042788	awn4-edb83526cc1fc	ذُو قِمَّة	s	awn4-01816153-s	
awn4-s0034b1cca640	awn4-e9fc1dcfa1cb9	بمذاق طيب	r	awn4-00476516-r	
awn4-s0034da712f43	awn4-e1c92a19f8824	مشط الحديقة	n	awn4-03422880-n	
awn4-s0035383cc97c	awn4-e926f34d2eb2c	أراروبا	n	awn4-02735701-n	
awn4-s00353b22d7f6	awn4-ee09f584daa73	ترسيب	n	awn4-13561402-n	
awn4-s003578decd58	awn4-ef01fe978e938	كسر قلب	v	awn4-01796980-v	
awn4-s00368c9612aa	awn4-e4cb7e521f035	درامي	n	awn4-10050002-n	
awn4-s0036c696121b	awn4-e09a79f14027e	مضرب الاسكواش	n	awn4-04299552-n	
awn4-s0036f94d16ff	awn4-e87c7f126d8c6	ورسستر	n	awn4-09120463-n	
awn4-s0037f9e32a41	awn4-e8d5bd24fa4d7	وايومنغ	n	awn4-09181789-n	
awn4-s0038a975d49d	awn4-e2f6ffa867130	معركة إنيويتوك	n	awn4-01281002-n	
awn4-s0039095157cb	awn4-e87eb9413eb78	غطاء العربة المكشوفة	n	awn4-02941342-n	
awn4-s003910baccac	awn4-ef88d4c5fcc2a	شوي	n	awn4-00247621-n	
awn4-s003931383e9d	awn4-ed41df1f58f7d	وحيد الإثمار	a	awn4-03051070-a	
awn4-s00397719ef27	awn4-e74323e16ddf7	أراواكي	a	awn4-02648188-a	
awn4-s0039a90e6411	awn4-e22ef16d76a05	تَافِه القِيمَة	s	awn4-00938628-s	
awn4-s0039d029fce2	awn4-e4f4c613b5282	مُعْدٍ	s	awn4-01306233-s	
awn4-s0039f55ad761	awn4-ef2a3f7262bc9	عَائِم	s	awn4-01064799-s	
awn4-s003a0201d06a	awn4-e58c0245da8fb	بَسَطَ	v	awn4-02094510-v	
awn4-s003b5b288aec	awn4-ea2c95b4f7c34	مقر عمل	n	awn4-04609402-n	
awn4-s003b88e85fbe	awn4-e6eb0a912734c	مودة	n	awn4-07561495-n	
awn4-s003bf92c82dd	awn4-ec161c78a074c	عظم شظوي	n	awn4-02325469-n	
awn4-s003c001176a9	awn4-ee82804e4116f	نقار الخشب	n	awn4-01841602-n	
awn4-s003c42714914	awn4-e1212756f2ab7	جنيح مائي	n	awn4-03558199-n	
awn4-s003cac3b7b90	awn4-ee3245726d0d1	ياقة عنق السلحفاة الزائفة	n	awn4-92448838-n	
awn4-s003cdb93f361	awn4-e23202fb4550b	جهة اتصال	n	awn4-09979596-n	
awn4-s003cdee8f551	awn4-e8846bf41e708	بيانو بيبي جراند	n	awn4-02769797-n	
awn4-s003cf0e179d7	awn4-e98cd44825f63	باندفاع	r	awn4-00459726-r	
awn4-s003cf711302a	awn4-e9477ab7e61d4	لا سلطوية	n	awn4-13996506-n	
awn4-s003d54416761	awn4-e5c8613ed0f6f	لَا طَائِلَ مِنْه	s	awn4-02513350-s	
awn4-s003db23f49ff	awn4-e577f96b14ade	غير نفوذ	a	awn4-01778210-a	
awn4-s003dd9626fb1	awn4-e4c5edf4401c3	راشد	n	awn4-09628463-n	
awn4-s003e2b78840d	awn4-e53b398c532c3	رَوَّجَ	v	awn4-01381921-v	
awn4-s003e425916f5	awn4-eeaca47531750	قفز	v	awn4-00155355-v	
awn4-s003e708c6d87	awn4-e73df5cce67a1	حَارّ	s	awn4-00889359-s	
awn4-s003ee7b82740	awn4-e8d8b79f9bff7	دَشَّشَ	v	awn4-00037912-v	
awn4-s003f1034333b	awn4-e1b39e7494d87	حصل على	v	awn4-02364339-v	
awn4-s003fd22d4f6d	awn4-e062c797fab21	دهان	n	awn4-10413608-n	
awn4-s003fdda0930d	awn4-e6cdd40c96216	تدويري	a	awn4-02951256-a	
awn4-s0040347f3abd	awn4-ead67fcdee7d7	مُشَبَّعٌ	s	awn4-01961240-s	
awn4-s00405fdb0a04	awn4-eb36f71273690	كيسة مائية	n	awn4-14225601-n	
awn4-s0041712f6e08	awn4-e9642e1b67ef6	طمي	n	awn4-11465491-n	
awn4-s004186736636	awn4-ee204a4f85cfe	هنا	r	awn4-00109541-r	
awn4-s0041acdf11ff	awn4-ede0e7b652d2f	سِيخِيّ	n	awn4-10617757-n	
awn4-s0041ea355a2c	awn4-e2519724f74cf	احتيال	n	awn4-04882923-n	
awn4-s004227bf2844	awn4-eed6feacadc13	حَمَاسِيّ	s	awn4-01903674-s	
awn4-s0042e28f66f7	awn4-ea21b0be2eb24	بوقائية	r	awn4-00212695-r	
awn4-s00436bcbdc8b	awn4-e3cba98983c74	طقم أحزمة	n	awn4-03500164-n	
awn4-s00445f905b5a	awn4-e2f93fe60ff60	غَيْرِيُّ الحَلَقَةِ	s	awn4-00680267-s	
awn4-s0045068a105b	awn4-e6cb532117f3e	نشيط	a	awn4-00808265-a	
awn4-s00459c2eab1f	awn4-e6546ad75e612	غرب الولايات المتحدة	n	awn4-08700557-n	
awn4-s0046319822a2	awn4-ed05a1bcf3e5a	على نحو رديء	r	awn4-00011978-r	
awn4-s00466bb19df6	awn4-ebe81b1d10859	غَوْر	s	awn4-00694418-s	
awn4-s0046f7129f1b	awn4-eae39115dab63	سوّى	v	awn4-00766077-v	
awn4-s0047761cc446	awn4-e4febe54096e7	قَنَّعَ	v	awn4-01820811-v	
awn4-s00477e94aaa8	awn4-e4ed6ffb4d1a0	درج خلفي	n	awn4-02774171-n	
awn4-s0048039b30ab	awn4-ec963bd2be28b	كردون	n	awn4-08393679-n	
awn4-s0048137bf204	awn4-e2e1accec602b	علب	v	awn4-02717596-v	
awn4-s00488a2432ac	awn4-e2f4d0aff7a29	بِأَقْصَى سُرْعَة	r	awn4-00261595-r	
awn4-s00494ccacf55	awn4-ed2d3e402ecb1	مملكة الأراضي المنخفضة	n	awn4-08968866-n	
awn4-s0049543a1a54	awn4-ec892c4e21fe9	وايفو	n	awn4-90002391-n	
awn4-s004992bab712	awn4-efeda40f088c2	شبل الكشافة	n	awn4-10001469-n	
awn4-s0049e1ddad10	awn4-ee76ce9c8f5d3	شح	n	awn4-04900720-n	
awn4-s004a0090eda3	awn4-ef2a6bc84cf88	كحلاء مخزنية	n	awn4-12838454-n	
awn4-s004a116052fa	awn4-e9b3cdc31f496	وَضْع رَأْسِيّ	n	awn4-13851008-n	
awn4-s004a180e084d	awn4-ef9f6bf1b9d33	روبرت هيريك	n	awn4-11065791-n	
awn4-s004ac9fbad78	awn4-ed00fe797dd48	ثقيل الظل	n	awn4-10439375-n	
awn4-s004b60c256f2	awn4-efcf69cb14ad4	مكواة الكي	n	awn4-04168071-n	
awn4-s004ba51387fa	awn4-e4a4e40f5a85d	فيسنتي لوبيز	n	awn4-08731372-n	
awn4-s004bb9a0cda2	awn4-e27f3d66e07cb	قرع	n	awn4-12178286-n	
awn4-s004c8ea16ae6	awn4-e92b28911b500	هادفة	n	awn4-05177927-n	
awn4-s004c9912b944	awn4-e599a21297a10	ضرب السمكة	v	awn4-01368542-v	
awn4-s004cd58d5274	awn4-ed1c89d2e0e2b	برميل صغير	n	awn4-03615631-n	
awn4-s004d6092b8e5	awn4-e015a5de70fbf	حكم مساعد	n	awn4-10283628-n	
awn4-s004dc02d0ee4	awn4-e24ee3ef7f7a0	مُمِيت	s	awn4-00997017-s	
awn4-s004e1327d247	awn4-e0146bd56309d	إجراءات معقدة	n	awn4-01028258-n	
awn4-s004e1b74d9b0	awn4-e32ccdd662d7e	تفاعل قوي	n	awn4-11537252-n	
awn4-s004e4be79d5b	awn4-ef1af639b6923	زلة	n	awn4-00740083-n	
awn4-s004ee633efbe	awn4-eefe40635ad2b	مقياس الفولت الإلكتروني	n	awn4-03284275-n	
awn4-s004f26c14134	awn4-e50626e29359d	ملصق	n	awn4-07286877-n	
awn4-s004fda63118e	awn4-e1ae7e7eef45d	دوامة	n	awn4-13900751-n	
awn4-s004ff5deacdc	awn4-e836f8ac16e0b	حب الظهور	n	awn4-00413019-n	
awn4-s005023ac2e21	awn4-e543d8ebbc577	استوجب	v	awn4-02642409-v	
awn4-s005032d17035	awn4-e93040751422f	سَأَلَ	v	awn4-00786389-v	
awn4-s00503a1f1607	awn4-e8b3888751174	لجنة التنمية الاجتماعية	n	awn4-08315839-n	
awn4-s00507855d78d	awn4-e0ec6e52c4557	سنوري	a	awn4-02893192-a	
awn4-s0050ae83c54a	awn4-ec8d50481a3cf	سي	n	awn4-06882179-n	
awn4-s0050e76443e6	awn4-eae175d5277e6	معجنات	n	awn4-07638317-n	
awn4-s00519aeb2989	awn4-ea2919937810f	رَصِين	s	awn4-01336429-s	
awn4-s0051e0efdb02	awn4-e49373205dde0	مَهَّدَ	v	awn4-00903562-v	
awn4-s00527bb3eb7b	awn4-e4cc0102f8fcc	زود	v	awn4-01186986-v	
awn4-s00528e2fdff4	awn4-e12c4e9e1029a	جَرَّ قدميه	v	awn4-01921542-v	
awn4-s00528fbf8a74	awn4-e3b1275cfb670	دوار البحر	n	awn4-14227424-n	
awn4-s0052c9ed0464	awn4-e2b9d660e3d50	صَادَقَ عَلَى التَّوْقِيع	v	awn4-00999477-v	
awn4-s005332ebe0a3	awn4-eb48c7c12e71c	غير منبور	a	awn4-02328637-a	
awn4-s00537220b9bf	awn4-e49e55b72bf48	تَدَاوَلَ	v	awn4-02226741-v	
awn4-s00544920d96d	awn4-edd42b7c5a144	اللورد كلفن	n	awn4-11120250-n	
awn4-s005494342801	awn4-e5f19b36fe494	قبعة شيرلوك هولمز	n	awn4-03175538-n	
awn4-s0054aaf93fbe	awn4-e58d289a6b66f	انحناءة مبالغ فيها	n	awn4-07290194-n	
awn4-s0054eb339bfd	awn4-ef77f50a9ab10	طعام	n	awn4-07580824-n	
awn4-s005508409e2a	awn4-e8fd835b9ee15	نبات المظلة	n	awn4-12623195-n	
awn4-s005522067c15	awn4-ee1cdf71e9e38	الْتِزَام بِالقَانُون	n	awn4-92427829-n	
awn4-s00558eabb6e6	awn4-e8fc62b8207bb	عَدَّ	v	awn4-00691692-v	
awn4-s0055be156b08	awn4-e9a6568635936	رنين الجرس	n	awn4-07398216-n	
awn4-s0055be2324b5	awn4-ed4ec89041cf6	مسلمة	n	awn4-10361304-n	
awn4-s005647f0a26f	awn4-e74c8724d1e05	كلّف	v	awn4-02480684-v	
awn4-s00568fb43fbd	awn4-eb6b2a82ff49a	جنس التفاح	n	awn4-12654147-n	
awn4-s00578c45730d	awn4-e6ba8c8265185	خيط قطني مبروم	n	awn4-03682866-n	
awn4-s0057c094e745	awn4-e2e0bcb4f43a7	عَاجِل	s	awn4-00982557-s	
awn4-s0057e0f043b8	awn4-e785b60c0f76b	كَشَفَ	v	awn4-01342710-v	
awn4-s005833515aeb	awn4-ea1715696f031	رَكَّبَ أَزْرَارًا	v	awn4-01370829-v	
awn4-s00583d6c2c22	awn4-e86374b5acf82	سَامِق	s	awn4-01208145-s	
awn4-s0058590f302e	awn4-e79170478cb72	أَعْدَمَ بِالمِقْصَلَة	v	awn4-01574369-v	
awn4-s00587a4922d1	awn4-e9e7b05cb3e67	مزلق	n	awn4-14914810-n	
awn4-s00589e8f58aa	awn4-e9abf53e6a271	صوت رجالي حاد	n	awn4-04993303-n	
awn4-s00593efad051	awn4-e874ff49aa263	فايو	n	awn4-09553055-n	
awn4-s005963e357c6	awn4-e4f25ea42ef2a	ريش للتحمير	n	awn4-07677695-n	
awn4-s005995d005d2	awn4-e5e0b632e89b2	قرنفليات	n	awn4-11823944-n	
awn4-s0059b689a29e	awn4-edbcd54873446	بوابة	n	awn4-03433387-n	
awn4-s005a1749f052	awn4-e593652fea0b2	أصيل	a	awn4-01039765-a	
awn4-s005a57ce83dc	awn4-e468be02cc897	صورة	n	awn4-13960108-n	
awn4-s005af43d8d61	awn4-e8ce9c952246b	ضيق	n	awn4-14474006-n	
awn4-s005b1e923861	awn4-e1d1f43ce6209	بالتجزئة	r	awn4-00444562-r	
awn4-s005c5bf92795	awn4-e79f2cb0b8c13	تلسكوب شمسي	n	awn4-04265728-n	
awn4-s005d2e8c37eb	awn4-e277a4af4d10a	قواع	n	awn4-02329084-n	
awn4-s005d49a4aa1e	awn4-e9b2ad696e844	بيغونيا جذمورية	n	awn4-12381334-n	
awn4-s005d5e4e9c11	awn4-e600141781387	قاذف	n	awn4-10729178-n	
awn4-s005dacf54ef6	awn4-e287c4292f48b	بيري	n	awn4-09570034-n	
awn4-s005e385b3706	awn4-eca3dcdd1fd55	أَعَادَ تَأْهِيل	v	awn4-00207996-v	
awn4-s005ef47fea21	awn4-e3fd76aa12e2e	تسبحة	n	awn4-07050189-n	
awn4-s005f1473bc11	awn4-e78c35e3a2723	كبيبي	a	awn4-03021102-a	
awn4-s005f316527d7	awn4-efb5e1fe22bd1	نظام قنوات ولاية نيويورك	n	awn4-09141737-n	
awn4-s005f561899a3	awn4-ebff6f0d97471	تلاعب	v	awn4-01588939-v	
awn4-s005f8bf72402	awn4-ed79b867d0ce5	تصويت متعدد	n	awn4-00185651-n	
awn4-s005faa4a488b	awn4-e423212cc728d	موقع التصوير	n	awn4-04304614-n	
awn4-s0060b913e77d	awn4-e2b6b47903d57	ذبابة ألدر	n	awn4-02269516-n	
awn4-s0060d9ddfa3e	awn4-ede2834a23e55	غرزة العلامة	n	awn4-04392359-n	
awn4-s006223d2f973	awn4-e13d6287e8401	دهر	n	awn4-15267766-n	
awn4-s006234dbb769	awn4-e749e5171be1f	منظومة حية	n	awn4-08453046-n	
awn4-s00624c1adcff	awn4-e8ca1dd015f24	حصى الصوان	n	awn4-14895419-n	
awn4-s0062a7ae8e30	awn4-e3349eafe75f1	مُتَوَاضِع الأَصْل	s	awn4-01597282-s	
awn4-s0062b3a44e51	awn4-e28262d6ab8dc	مكلل	a	awn4-00656845-a	
awn4-s00632c82d46a	awn4-e9b594636a952	صَدَحَ	v	awn4-01051245-v	
awn4-s0063c003bb38	awn4-eebb820f9aed9	السكيثية	n	awn4-06988129-n	
