entryId	lemma	partOfSpeech
awn4-e008db6be1d1d	أرض الأحلام	n
awn4-e008e66580b83	فترة منصب	n
awn4-e008e7c561ae6	فيلق تدريب ضباط الاحتياط	n
awn4-e008e99c1ff45	مروّج	n
awn4-e008eaf5dfa42	خريطة ملاحية	n
awn4-e008edfe45f61	صمم وبكم	n
awn4-e008f7c71385b	نبات عاري	n
awn4-e008fa3f42a4f	رخصة قيادة	n
awn4-e008fdff8491e	لَوَّثَ بِالسَّوَاد	v
awn4-e009001c92a97	رمز لفظي	n
awn4-e00901f4a493b	سلوفيني	a
awn4-e00907dbf85ef	باحث أكاديمي	n
awn4-e0090951c1af2	مُغَطًّى بِالزَّبَد	s
awn4-e0090a5658b3b	قسم الآلات النحاسية	n
awn4-e0091a5cd89d8	سكين لوحة الألوان	n
awn4-e0091daac7c8f	بربر	n
awn4-e009227864daf	جندية مدفعية	n
awn4-e0092f14045f6	عجلة دافعة	n
awn4-e0093e0ed669d	صُلْبُ الأَغْصَان	s
awn4-e00953de8a406	وحدة نقدية فيتنامية	n
awn4-e009599684d0e	شحني	a
awn4-e0095d84ffb1f	ساو برناردو دو كامبو	n
awn4-e009658a4a4a8	ألبرت أينشتاين	n
awn4-e0096a9e06a20	مُتَذَمِّر	s
awn4-e00971ab1d325	عدم استحسان	n
awn4-e00975e34bc67	معلم ألعاب	n
awn4-e0097a7d78431	الرسالة الثانية إلى تيموثاوس	n
awn4-e009812d0a7a4	أمبروز بيرس	n
awn4-e009828ea5415	صمل موتي	n
awn4-e00985ae0235d	شعور	n
awn4-e0099aa7ca6fe	مطالبة تأمين	n
awn4-e009a7dd72c4e	كفافاً	r
awn4-e009b5811acea	رفيق المنامة	n
awn4-e009be897556a	آنية	n
awn4-e009c3a2e9e8f	بلاستيك	n
awn4-e009c7ed7e4ad	عويلم	n
awn4-e009cb3eac298	جهاز الاستخبارات الخارجية	n
awn4-e009d61b48d8d	جنس الأنقليس الرعاد	n
awn4-e009e479e3515	لحاء	n
awn4-e009e842d92d2	جورج إليوت	n
awn4-e009ef8bfba04	اسْتَدْعَى	v
awn4-e00a00ddaebb2	زرق الحمام	n
awn4-e00a0315567c5	ثلاثي أكسيد الزرنيخ	n
awn4-e00a08e32d765	إحصائي	a
awn4-e00a10b02327d	ختن	v
awn4-e00a1cd7af6d5	عَالِي الجَوْدَة	s
awn4-e00a20a62b451	غَيَّرَ رأيه تماماً	v
awn4-e00a20e4542a3	الباب العالي	n
awn4-e00a31f11f7ed	جنس كيلوميكتيروس	n
awn4-e00a4076afcfe	حذاء تنس	n
awn4-e00a504f27e24	مُتَنَاقَل	s
awn4-e00a518c3dc26	الجهاز اللحافي	n
awn4-e00a529a1a8db	سيلان الأنف	n
awn4-e00a5415de5c3	ربيعيات	n
awn4-e00a5e0eef2ee	قَصِير مُمْتَلِئ	s
awn4-e00a66e82b932	حز	v
awn4-e00a6f799237e	ذُو مُنْحَنَيَات	s
awn4-e00a7e5b39fbe	خلية جسدية	n
awn4-e00a7ffb68318	صناعة الطاقة الكهرومائية	n
awn4-e00a804472506	سرخس ذكر جبلي	n
awn4-e00a81fb6708c	لغة يوت	n
awn4-e00a853f932c2	حصان	n
awn4-e00a8afe4f618	اسْتِعْمَال	n
awn4-e00a92a04e0be	نَقْد	n
awn4-e00a9471ec6b4	رباعي وتري	n
awn4-e00a948fac33e	أراد	v
awn4-e00a9e08d94f6	ناقل حركة	n
awn4-e00aa0ce5de98	ميجاكاريوسيتي	a
awn4-e00aa8e1ecb27	لويزيا كوتيليدون	n
awn4-e00aa9d85f323	عنصر منطقي	n
awn4-e00aadc3ea766	شراب الذرة	n
awn4-e00abc4add317	ثَلَاثَةَ عَشَرَ	s
awn4-e00abcdd46cac	مجهر الانبعاث المجالي	n
awn4-e00ac3ccc2bbe	الويكا	n
awn4-e00ac4a7d399f	شبكة ثلاثية الطبقات	n
awn4-e00ac7d1bf76f	لحام فضة	n
awn4-e00ad78b0d836	غَيْرُ مُمَوَّج	s
awn4-e00ae1e4dc251	تبجيل	n
awn4-e00ae419a7eb7	جنس فيلوسيرابتور	n
awn4-e00aea7e9f172	مقاصة	n
awn4-e00aec954dda4	روبن جودفيلو	n
awn4-e00af1e0d2d4d	مثلجات مائية	n
awn4-e00b0596e7551	ستربتوكوكس أنهيموليتيكوس	n
awn4-e00b06a53e97d	طاجيكستان	n
awn4-e00b1a3dc7661	شبه ظلي	a
awn4-e00b20db814f2	مائدة القربان	n
awn4-e00b23a50395f	تَمَشَّى	v
awn4-e00b240e7a954	جنس بوليانثيس	n
awn4-e00b37cec2b42	صد الخصم بالذراع	n
awn4-e00b42319ebfd	بشكل لا يمكن تفسيره	r
awn4-e00b4494e929c	بِلُغَة وَاضِحَة	r
awn4-e00b4b324ff74	ضريبة الاستقطاع	n
awn4-e00b5891c482f	عاصمة سويسرا	n
awn4-e00b6f85d1916	نعيم	n
awn4-e00b6f9911aca	بلاد الغال	n
awn4-e00b73403fd58	المجتمع المتحد للمؤمنين بظهور المسيح الثاني	n
awn4-e00b818281888	حرية (بالروسية)	n
awn4-e00b854248473	ورم بطني	n
awn4-e00b881f3229d	ذو مغزى	a
awn4-e00b931ee1c8f	شارونيا	n
awn4-e00b93e1efdbf	صلبي	a
awn4-e00b971977be7	طائرة مجهولة	n
awn4-e00bb5b984720	استطيقا	n
awn4-e00bb70eddb65	ميزاب حجري	n
awn4-e00bc50f32f72	ميل ثابت	n
awn4-e00bd5425449a	وضع قانوني	n
awn4-e00bd99f43d97	عمل خيري	n
awn4-e00bdc8822274	بلاجيوكلاز	n
awn4-e00be51b37b2e	شَعْوَذَ	v
awn4-e00bee6c7341d	اقْتَلَعَ	v
awn4-e00bfe07f166b	علوم الدماغ	n
awn4-e00c0f9165e61	ليبيوتا راكودس	n
awn4-e00c26b803d9c	يعيق النمو	v
awn4-e00c2f687939c	عباد شمس مبهرج	n
awn4-e00c3268b4f6b	قابلية الحل	n
awn4-e00c36835933c	أنابروكس	n
awn4-e00c44a30987b	ملح كوني دقيق	n
awn4-e00c52e5ddc1d	أسلوبياً	r
awn4-e00c53ff752be	الصفحة اليمنى	n
awn4-e00c54660349c	شيح قيصوم	n
awn4-e00c71b47229c	متسلق صخور	n
awn4-e00c73591cc30	مقديشو	n
awn4-e00c8aefaa810	دَائِبٌ بِلَا هَوَادَة	s
awn4-e00c8f58321eb	المحتفل	n
awn4-e00c96998b909	الهرمون المضاد لإدرار البول	n
awn4-e00c9ffae9ba0	كود برمجي	n
awn4-e00cad28c3fa5	ملتيبلكسر	n
awn4-e00cb03de6b44	مصدر أمان	n
awn4-e00cb26ffef56	غطاء سرير مبطن	n
awn4-e00cc6df82bcb	ميستر إيكهارت	n
awn4-e00ccac663ff3	مَجَازِيَّة	n
awn4-e00ccb5adcdc1	تسعة	n
awn4-e00ccf99ad092	سير ناقل	n
awn4-e00ce49028189	جوزيف ميشيل مونغولفييه	n
awn4-e00ce54cf369e	يصوب السلاح نحو	v
awn4-e00ce5a4187c1	متزلج على الجليد	n
awn4-e00cf111359da	تناجر كبدي	n
awn4-e00cfc93d408a	قضية مفردة	n
awn4-e00cff5935a49	جَدِير بِالتَّقْرِير	s
awn4-e00d0978216f3	قناة منوية	n
awn4-e00d2206d21f1	جِسْم	n
awn4-e00d270f8ad3c	مُغْتَرِب	s
awn4-e00d305fab6aa	اليد الميتة	n
awn4-e00d32b853ad6	خصام	n
awn4-e00d36c63f0b5	رامون لول	n
awn4-e00d4d35d0513	بريتوري	a
awn4-e00d4f8405176	مُسْتَغْرِق	s
awn4-e00d52af6f999	حيلة دنيئة	n
awn4-e00d603a69a18	جنس كولينسيا	n
awn4-e00d62d7e4560	خَام	s
awn4-e00d67da6c18f	متلاف	n
awn4-e00d6b62dec03	ضزز	n
awn4-e00d74f49c997	كاماسيا الموت العشبية	n
awn4-e00d799a6137f	جودة الحياة	n
awn4-e00d7c9a23c9d	ماسح	n
awn4-e00d90e8ca4f2	مخدرات	n
awn4-e00d9be689d85	أَوَّل	s
awn4-e00dc225d544e	لوحة المعالج	n
awn4-e00dd28ed8824	شرطية مرور	n
awn4-e00deb39b89d3	بخور	n
awn4-e00df6fa65d3c	مَيَّالٌ لِلِانْطِوَاء	s
awn4-e00dfa71ae4ed	تاريخ الاستحقاق	n
awn4-e00dfe2afccf3	دُونَ إِرَاقَة دِمَاء	r
awn4-e00e0578d2fe6	روحاني	n
awn4-e00e0ecae902e	وحدة نقدية كولومبية	n
awn4-e00e108420bbb	ودية	n
awn4-e00e116a33084	مِحْوَر أَسَاسِيّ	n
awn4-e00e155fbe941	فرديناند ماجلان	n
awn4-e00e283595fd0	قلّص المسافة بين الحروف	v
awn4-e00e2ab10814a	مجذافيات الأرجل	n
awn4-e00e37e0b379e	جنس جيستروم	n
awn4-e00e4cfae77a0	برومير	n
awn4-e00e564224859	مرتاد المسرح	n
awn4-e00e56b997778	فن المغني المتجول	n
awn4-e00e5a7935814	مغاوير	n
awn4-e00e5ae669285	عَائِلِيًّا	r
awn4-e00e5c6416fb4	نقطة تحول مفاجئة	n
awn4-e00e5dd0f750b	قصور القلب	n
awn4-e00e5ffd55a0a	اللغات التبتية البورمية	n
awn4-e00e61920efc3	تاج نسائي	n
awn4-e00e62b1a9203	حياة الترف	n
awn4-e00e68fd9fe13	دبلني	n
awn4-e00e69339729a	توراة دواي	n
awn4-e00e6ae21a5b7	نيفيلينيت	n
awn4-e00e6fdf459c6	رجل البحر	n
awn4-e00e72927ce3b	هزيل	n
awn4-e00e7d63ab912	بانيني	n
awn4-e00e810fba63b	الإسكندر الأكبر	n
awn4-e00e84945c3b8	جنس هومو	n
awn4-e00e8546e5c4b	سرخس أم أربعة وأربعين	n
awn4-e00e8ad912459	اسْتَرْخَى	v
awn4-e00e936721177	جنس الغبيراء	n
awn4-e00e9b970f133	منحنى الثمانية	n
awn4-e00eab1da2e7f	عسلة مرجانية	n
awn4-e00ead4cada87	كالميت	r
awn4-e00ec24fa7a2b	إسطمبة	n
awn4-e00ecd42cecc6	تَوَرَّدَ	v
awn4-e00ee4d88ce44	أحجم عن	v
awn4-e00efb6fdc7d3	خَفَّفَ	v
awn4-e00f06534e7eb	صفصاف أرويو	n
awn4-e00f08b7d5e6b	ركضة	n
awn4-e00f0b9e04d58	أُمُومِيُّ النِّظَام	s
awn4-e00f0c85c9875	سَاذَج كَالقَرَوِيِّين	s
awn4-e00f1810adcb6	الطبقة العليا	n
awn4-e00f1840750d2	كارديوم	n
awn4-e00f332724e9f	ذِرْوِيّ	s
awn4-e00f363e595a2	تَزَامُن	n
awn4-e00f3974bfba0	مسرح العبث	n
awn4-e00f3c36f7f54	قاروص مقلم	n
awn4-e00f6be413e7c	بدلياً	r
awn4-e00f6c14c5f80	رسم بالألوان	n
awn4-e00f766a91031	في أقرب وقت	r
awn4-e00f7a9a42de7	لئيم	n
awn4-e00f7abb045dc	تنكر	n
awn4-e00f83ec0eb00	تتبيلة السلطة	n
awn4-e00f87c79df0c	ملء كرتونة	n
awn4-e00f8be11779f	هيلا	n
awn4-e00f925b52d10	ميزان موسيقي	n
awn4-e00f99594645c	حجر رملي بني	n
awn4-e00f9c44e9f10	شَرَّقَ	v
awn4-e00f9ff7cea0d	موبخ	n
awn4-e00fa294e13f9	ريف	n
awn4-e00fab0c89b88	معطنة كتان	n
awn4-e00fb3bcb7bab	مربي دود القز	n
awn4-e00fbdfe31c91	عدم تحمل الليسين	n
awn4-e00fc286fa846	ترام	n
awn4-e00fc7db70ce6	الفصيلة الأرفية	n
awn4-e00fc8a18083c	عمى الكلمات	n
awn4-e00fcbc09be9e	عنبة	n
awn4-e00fe1cf4c31b	ملصِق	n
awn4-e00ff4f699d91	هندسة مدنية	n
awn4-e01004554d352	ثيوصوفي	n
awn4-e01006eb0193a	إرغوستيرول	n
awn4-e01010e4f3be9	معاش	n
awn4-e01010f8df684	يسوعي	a
awn4-e0101f34c707e	باحتراف	r
awn4-e0102b1159bb2	أَقَامَ (مع طعام)	v
awn4-e0102f8aa2ea7	جنس أوستيلاجنويديا	n
awn4-e0103a09153dd	تدقيق	n
awn4-e0103c565dec8	مُسْتَخْرَجٌ سَطْحِيًّا	s
awn4-e0104068f8939	مصارع ثيران مبتدئ	n
awn4-e0104994611bf	ورق مقوى	n
awn4-e0104eea2d578	حيفا	n
awn4-e010548d76878	جعبة	n
awn4-e01059f081cb2	بنك	n
awn4-e0105a28238d4	سَطْحِيّ التَّعْدِين	s
awn4-e0105dc929be2	سمكة البوق	n
awn4-e01061c5f82e3	حَلَّ التَّشَابُك	v
awn4-e0106bdbc2738	تكويني	a
awn4-e0106ccdee5c8	بيدوفيليا	n
awn4-e0107b8038c59	قيثارة مثلثة	n
awn4-e010833a1f1e5	مرض النوم	n
awn4-e01086be27583	نال عقاباً	v
awn4-e0108badef6d8	المجلس الوطني لعلاقات العمل	n
awn4-e0109e2f06caf	رسم بالحرق	a
awn4-e010ae483707b	منتج	n
awn4-e010b3745870e	رسم هندسي	n
awn4-e010bc8670776	بليس أمريكي	n
awn4-e010c37b25b15	ابْتَلَعَ (الْكَلَامَ)	v
awn4-e010c88659351	ملازم أول	n
awn4-e010ccee644ef	قائمة انتظار	n
awn4-e010cd10ee9c7	النساء	n
awn4-e010cd97be37c	كاليكو	a
awn4-e010d960a2cb1	تمايز	n
awn4-e010df0a674df	دَأْبُه	s
awn4-e010df103f1db	موت موت	n
awn4-e010dfb34f6c9	رينارد	n
awn4-e010ed13352f8	غَيْر مُوقَظ	s
awn4-e010f3d7fd3ab	عشبة العقرب	n
awn4-e010f7192680d	مستعصٍ	a
awn4-e01108962026e	مرق صافي	n
awn4-e01118732eebd	تنقيح أخلاقي	n
awn4-e0111cd0b74c2	إيمان بالقضاء والقدر	n
awn4-e0111de1d4ddb	عاطف	a
awn4-e011366375d1c	بليوناست	n
awn4-e01145fd456a2	سرعة التأثر	n
awn4-e01150a420c55	طريق ملاحي	n
awn4-e011538bfaaa1	عنوان بارز	n
awn4-e011599cf17b8	أسرابك	n
awn4-e0115a98e8c1b	قلق مفرط	n
awn4-e0116042911ea	الملاك الحارس	n
awn4-e0116b6febf23	بِحُكْم المَنْصِب	r
awn4-e0116c2d337ad	حانة نبيذ	n
awn4-e0116e2657057	غَيْرُ مُلَبَّس	s
awn4-e0117bf9cfa99	ذو رائحة	a
awn4-e0117c11e9deb	تطور عضوي	n
awn4-e0117d6f15cc4	عدسة مفرقة	n
awn4-e011822154389	شيعي	n
awn4-e0118fd623f67	جيش التحرير الوطني البوليفي	n
awn4-e0119c67abdcc	طالب مستذكر بضغط	n
awn4-e0119cf59d930	مستطيل	n
awn4-e0119d8c0c40b	فربيون لوزي	n
